date,quiz_name,total_score,total_questions,question_1_correct,question_1_hint_used,question_1_attempts,question_1_attempted_answers,question_2_correct,question_2_hint_used,question_2_attempts,question_2_attempted_answers,question_3_correct,question_3_hint_used,question_3_attempts,question_3_attempted_answers,question_4_correct,question_4_hint_used,question_4_attempts,question_4_attempted_answers,question_5_correct,question_5_hint_used,question_5_attempts,question_5_attempted_answers,question_6_correct,question_6_hint_used,question_6_attempts,question_6_attempted_answers
2025-08-09T19:19:53.801Z,Demo,4,4,True,False,1,2,True,False,1,2,True,False,1,2,True,False,1,2,,,,,,,,
2025-08-10T17:43:37.270Z,Augmented Reality,4,6,True,False,1,2,False,False,3,"3, 4, 2",True,False,1,4,True,False,1,4,False,False,3.0,"4, 2, 3",True,False,2.0,"2, 4"
